,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,index_everything,name_y,SRS_adv,SOS_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,eFG_perc_adv_subtracted,BLKPG_opponent,STPG_opponent,APG_opponent,AST_TO_opponent,_3pm_opponent,_3pa_opponent,_2pm_opponent,_2pa_opponent,_2p_perc_opponent,FG_perc_opponent,_3p_perc_opponent,FT_perc_opponent,ORPG_opponent,DRPG_opponent,RPG_opponent,other_team_seed_opponent,BLKPG_subtracted,STPG_subtracted,APG_subtracted,AST_TO_subtracted,_3pm_subtracted,_3pa_subtracted,_2pm_subtracted,_2pa_subtracted,_2p_perc_subtracted,PTS_opponent,PTS_subtracted,FG_perc_subtracted,_3p_perc_subtracted,FT_perc_subtracted,ORPG_subtracted,DRPG_subtracted,RPG_subtracted,round,name_ken,wins,losses,year_kenpom,kenpom_adjem,names_for_merging_ken
0,1134,1134,1134,2142,1,15,1,Maryland,1,1,1,0,2002,Maryland,6.27,8.4,20.4,1.48,6.0,16.0,733.0,1404.0,0.522,85.3,0.483,0.37,0.71,2002,13.5,28.1,41.6,16,Maryland,1134,Maryland,23.5,9.38,0.53,2002,-2.74,-3.71,0.478,26.24,13.09,0.05200000000000005,4.21,5.44,12.7,0.83,7.0,20.0,559.0,1234.0,0.453,0.415,0.34700000000000003,0.742,11.2,26.6,37.9,1,2.06,2.96,7.6999999999999975,0.65,-1.0,-4.0,174.0,170.0,0.069,69.6,15.700000000000005,0.068,0.022999999999999958,-0.03200000000000003,2.3000000000000007,1.5,3.700000000000003,1,Maryland,32.0,4.0,2002,29.25,Maryland
1,1135,1135,1135,2143,1,15,1,Siena,16,0,0,1,2002,Siena,4.21,5.44,12.7,0.83,7.0,20.0,559.0,1234.0,0.453,69.6,0.415,0.34700000000000003,0.742,2002,11.2,26.6,37.9,1,Siena,1135,Siena,-2.74,-3.71,0.478,2002,23.5,9.38,0.53,-26.24,-13.09,-0.05200000000000005,6.27,8.4,20.4,1.48,6.0,16.0,733.0,1404.0,0.522,0.483,0.37,0.71,13.5,28.1,41.6,16,-2.06,-2.96,-7.6999999999999975,-0.65,1.0,4.0,-174.0,-170.0,-0.069,85.3,-15.700000000000005,-0.068,-0.022999999999999958,0.03200000000000003,-2.3000000000000007,-1.5,-3.700000000000003,1,Siena,17.0,19.0,2002,-1.21,Siena
2,1136,1136,1136,2144,8,1,1,Wisconsin,8,1,1,2,2002,Wisconsin,1.87,5.8,12.7,0.98,6.6,19.0,492.0,1013.0,0.486,66.9,0.438,0.35200000000000004,0.7190000000000001,2002,10.3,22.1,32.4,9,Wisconsin,1136,Wisconsin,10.09,9.22,0.499,2002,7.8,6.3,0.4370000000000001,2.29,2.9200000000000013,0.062,3.84,10.29,11.5,0.76,4.3,15.0,628.0,1437.0,0.4370000000000001,0.401,0.287,0.667,15.7,22.1,37.8,8,-1.97,-4.489999999999998,1.1999999999999993,0.22,2.3,4.0,-136.0,-424.0,0.04899999999999989,70.3,-3.3999999999999915,0.036999999999999984,0.06500000000000006,0.05200000000000005,-5.399999999999999,0.0,-5.399999999999999,1,Wisconsin,18.0,13.0,2002,13.22,Wisconsin
3,1137,1137,1137,2145,8,1,1,St. John's (NY),9,0,0,3,2002,St. John's,3.84,10.29,11.5,0.76,4.3,15.0,628.0,1437.0,0.4370000000000001,70.3,0.401,0.287,0.667,2002,15.7,22.1,37.8,8,St. John's (NY),1137,St. John's (NY),7.8,6.3,0.4370000000000001,2002,10.09,9.22,0.499,-2.29,-2.9200000000000013,-0.062,1.87,5.8,12.7,0.98,6.6,19.0,492.0,1013.0,0.486,0.438,0.35200000000000004,0.7190000000000001,10.3,22.1,32.4,9,1.97,4.489999999999998,-1.1999999999999993,-0.22,-2.3,-4.0,136.0,424.0,-0.04899999999999989,66.9,3.3999999999999915,-0.036999999999999984,-0.06500000000000006,-0.05200000000000005,5.399999999999999,0.0,5.399999999999999,1,St. John's,20.0,12.0,2002,9.06,St. John's
4,1138,1138,1138,2146,12,7,2,Marquette,5,0,1,4,2002,Marquette,3.41,8.44,14.1,1.01,5.2,14.0,677.0,1344.0,0.504,73.3,0.474,0.381,0.6920000000000001,2002,12.7,23.0,35.7,12,Marquette,1138,Marquette,17.16,4.77,0.52,2002,12.66,2.3,0.541,4.5,2.47,-0.02100000000000002,4.41,8.13,17.3,1.35,7.6,19.0,661.0,1298.0,0.509,0.477,0.406,0.7509999999999999,10.7,25.0,35.7,5,-1.0,0.3099999999999987,-3.200000000000001,-0.3400000000000001,-2.3999999999999995,-5.0,16.0,46.0,-0.0050000000000000044,80.4,-7.1000000000000085,-0.003000000000000003,-0.025000000000000026,-0.05899999999999982,2.0,-2.0,0.0,1,Marquette,26.0,7.0,2002,21.47,Marquette
5,1139,1139,1139,2147,12,7,2,Tulsa,12,1,0,5,2002,Tulsa,4.41,8.13,17.3,1.35,7.6,19.0,661.0,1298.0,0.509,80.4,0.477,0.406,0.7509999999999999,2002,10.7,25.0,35.7,5,Tulsa,1139,Tulsa,12.66,2.3,0.541,2002,17.16,4.77,0.52,-4.5,-2.47,0.02100000000000002,3.41,8.44,14.1,1.01,5.2,14.0,677.0,1344.0,0.504,0.474,0.381,0.6920000000000001,12.7,23.0,35.7,12,1.0,-0.3099999999999987,3.200000000000001,0.3400000000000001,2.3999999999999995,5.0,-16.0,-46.0,0.0050000000000000044,73.3,7.1000000000000085,0.003000000000000003,0.025000000000000026,0.05899999999999982,-2.0,2.0,0.0,1,Tulsa,26.0,7.0,2002,15.59,Tulsa
6,1140,1140,1140,2148,4,9,1,Kentucky,4,1,1,6,2002,Kentucky,4.83,7.76,14.5,1.0,6.8,22.0,627.0,1201.0,0.522,76.6,0.448,0.309,0.67,2002,15.6,24.8,40.3,13,Kentucky,1140,Kentucky,19.15,11.99,0.502,2002,9.38,-1.24,0.518,9.769999999999998,13.23,-0.016000000000000014,4.09,10.22,17.4,1.33,8.3,24.0,604.0,1170.0,0.516,0.451,0.35,0.665,13.7,24.1,37.8,4,0.7400000000000002,-2.460000000000001,-2.8999999999999986,-0.3300000000000001,-1.5000000000000009,-2.0,23.0,31.0,0.0060000000000000045,78.0,-1.4000000000000057,-0.003000000000000003,-0.04099999999999998,0.0050000000000000044,1.9000000000000004,0.6999999999999993,2.5,1,Kentucky,22.0,10.0,2002,22.21,Kentucky
7,1141,1141,1141,2149,4,9,1,Valparaiso,13,0,0,7,2002,Valparaiso,4.09,10.22,17.4,1.33,8.3,24.0,604.0,1170.0,0.516,78.0,0.451,0.35,0.665,2002,13.7,24.1,37.8,4,Valparaiso,1141,Valparaiso,9.38,-1.24,0.518,2002,19.15,11.99,0.502,-9.769999999999998,-13.23,0.016000000000000014,4.83,7.76,14.5,1.0,6.8,22.0,627.0,1201.0,0.522,0.448,0.309,0.67,15.6,24.8,40.3,13,-0.7400000000000002,2.460000000000001,2.8999999999999986,0.3300000000000001,1.5000000000000009,2.0,-23.0,-31.0,-0.0060000000000000045,76.6,1.4000000000000057,0.003000000000000003,0.04099999999999998,-0.0050000000000000044,-1.9000000000000004,-0.6999999999999993,-2.5,1,Valparaiso,24.0,8.0,2002,13.63,Valparaiso
8,1142,1142,1142,2150,11,5,2,Texas Tech,6,0,1,8,2002,Texas Tech,4.26,7.52,18.6,1.51,4.6,12.0,763.0,1556.0,0.49,79.5,0.468,0.378,0.684,2002,12.8,25.5,38.3,11,Texas Tech,1142,Texas Tech,14.72,7.22,0.502,2002,9.79,1.67,0.513,4.9300000000000015,5.55,-0.01100000000000001,4.82,7.39,15.1,1.08,6.3,17.0,691.0,1384.0,0.499,0.463,0.3720000000000001,0.621,13.3,25.7,39.0,6,-0.5600000000000005,0.1299999999999999,3.5000000000000018,0.43,-1.7000000000000002,-5.0,72.0,172.0,-0.009000000000000008,75.9,3.5999999999999943,0.0050000000000000044,0.005999999999999893,0.06300000000000006,-0.5,-0.1999999999999993,-0.7000000000000028,1,Texas Tech,23.0,9.0,2002,17.24,Texas Tech
9,1143,1143,1143,2151,11,5,2,Southern Illinois,11,1,0,9,2002,Southern Illinois,4.82,7.39,15.1,1.08,6.3,17.0,691.0,1384.0,0.499,75.9,0.463,0.3720000000000001,0.621,2002,13.3,25.7,39.0,6,Southern Illinois,1143,Southern Illinois,9.79,1.67,0.513,2002,14.72,7.22,0.502,-4.9300000000000015,-5.55,0.01100000000000001,4.26,7.52,18.6,1.51,4.6,12.0,763.0,1556.0,0.49,0.468,0.378,0.684,12.8,25.5,38.3,11,0.5600000000000005,-0.1299999999999999,-3.5000000000000018,-0.43,1.7000000000000002,5.0,-72.0,-172.0,0.009000000000000008,79.5,-3.5999999999999943,-0.0050000000000000044,-0.005999999999999893,-0.06300000000000006,0.5,0.1999999999999993,0.7000000000000028,1,Southern Illinois,28.0,8.0,2002,13.45,Southern Illinois
