,point_difference,team_seed,win,higher_or_lower_seed,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,ORPG,DRPG,RPG,other_team_seed,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted,round
0,15,1,1,1,3.32,7.18,15.6,1.53,7.4,18.0,682.0,1282.0,0.532,77.1,0.494,0.413,0.705,11.2,23.3,34.5,16,25.84,8.38,64.1,120.0,0.563,-5.8,-4.93,68.8,102.0,0.491,31.64,13.31,-4.700000000000003,18.0,0.07199999999999995,1
1,15,16,0,0,2.38,7.16,12.8,0.94,7.1,20.0,535.0,1130.0,0.473,70.9,0.431,0.35600000000000004,0.706,10.7,24.3,35.0,1,-5.8,-4.93,68.8,102.0,0.491,25.84,8.38,64.1,120.0,0.563,-31.64,-13.31,4.700000000000003,-18.0,-0.07199999999999995,1
2,1,8,1,1,3.31,6.75,14.3,1.31,6.7,17.0,614.0,1206.0,0.509,73.3,0.474,0.397,0.69,10.6,24.5,35.1,9,11.66,1.37,64.3,111.9,0.532,15.05,8.23,65.7,109.6,0.495,-3.390000000000001,-6.86,-1.4000000000000057,2.300000000000012,0.03700000000000003,1
3,1,9,0,0,3.75,6.34,13.8,1.15,6.3,18.0,574.0,1185.0,0.484,72.7,0.44,0.349,0.758,12.3,24.9,37.1,8,15.05,8.23,65.7,109.6,0.495,11.66,1.37,64.3,111.9,0.532,3.390000000000001,6.86,1.4000000000000057,-2.300000000000012,-0.03700000000000003,1
4,7,5,1,1,4.29,4.61,15.1,1.25,6.3,19.0,540.0,1139.0,0.474,69.5,0.4270000000000001,0.335,0.706,14.4,23.0,37.4,12,16.15,11.03,64.0,109.0,0.485,13.76,6.58,65.1,104.5,0.503,2.3899999999999992,4.449999999999998,-1.0999999999999943,4.5,-0.018000000000000016,1
5,7,12,0,0,4.88,8.03,12.9,0.96,6.5,19.0,551.0,1123.0,0.491,68.3,0.442,0.349,0.693,11.5,23.4,34.9,5,13.76,6.58,65.1,104.5,0.503,16.15,11.03,64.0,109.0,0.485,-2.3899999999999992,-4.449999999999998,1.0999999999999943,-4.5,0.018000000000000016,1
6,9,4,1,1,6.27,5.48,12.7,1.19,7.4,19.0,641.0,1308.0,0.49,76.4,0.46,0.397,0.718,12.1,26.0,38.1,13,20.3,8.91,66.2,112.8,0.523,3.71,-1.61,63.4,107.0,0.522,16.59,10.52,2.8000000000000043,5.799999999999998,0.0010000000000000009,1
7,9,13,0,0,4.26,5.9,13.5,1.09,6.1,17.0,574.0,1127.0,0.509,69.6,0.465,0.368,0.731,9.9,24.8,34.7,4,3.71,-1.61,63.4,107.0,0.522,20.3,8.91,66.2,112.8,0.523,-16.59,-10.52,-2.8000000000000043,-5.799999999999998,-0.0010000000000000009,1
8,5,6,0,1,3.1,5.52,13.3,1.11,5.5,17.0,592.0,1136.0,0.521,72.6,0.46299999999999997,0.33299999999999996,0.748,10.2,25.3,35.5,11,11.88,4.41,65.3,108.7,0.512,14.89,8.51,68.0,110.2,0.51,-3.01,-4.1,-2.700000000000003,-1.5,0.0020000000000000018,1
9,5,11,1,0,3.62,7.18,15.8,1.32,5.3,15.0,726.0,1427.0,0.509,76.1,0.46799999999999997,0.35200000000000004,0.691,12.4,23.8,36.2,6,14.89,8.51,68.0,110.2,0.51,11.88,4.41,65.3,108.7,0.512,3.01,4.1,2.700000000000003,1.5,-0.0020000000000000018,1
