,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,name_y,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted
0,1,15,1,Ohio State,1,1,1,0,2011,Ohio State,3.32,7.18,15.6,1.53,7.4,18.0,682.0,1282.0,0.532,77.1,0.494,0.413,0.705,2011,11.2,23.3,34.5,16,Ohio State,Ohio State,25.84,8.38,64.1,120.0,0.563,2011,25.84,8.38,64.1,120.0,0.563,0.0,0.0,0.0,0.0,0.0
1,1,7,1,Ohio State,1,1,1,16,2011,Ohio State,3.32,7.18,15.6,1.53,7.4,18.0,682.0,1282.0,0.532,77.1,0.494,0.413,0.705,2011,11.2,23.3,34.5,8,Ohio State,Ohio State,25.84,8.38,64.1,120.0,0.563,2011,25.84,8.38,64.1,120.0,0.563,0.0,0.0,0.0,0.0,0.0
2,4,3,2,Ohio State,1,0,1,24,2011,Ohio State,3.32,7.18,15.6,1.53,7.4,18.0,682.0,1282.0,0.532,77.1,0.494,0.413,0.705,2011,11.2,23.3,34.5,4,Ohio State,Ohio State,25.84,8.38,64.1,120.0,0.563,2011,-5.8,-4.93,68.8,102.0,0.491,31.64,13.31,-4.700000000000003,18.0,0.07199999999999995
3,1,15,1,UTSA,16,0,0,1,2011,UTSA,2.38,7.16,12.8,0.94,7.1,20.0,535.0,1130.0,0.473,70.9,0.431,0.35600000000000004,0.706,2011,10.7,24.3,35.0,1,Texas-San Antonio,Texas-San Antonio,-5.8,-4.93,68.8,102.0,0.491,2011,25.84,8.38,64.1,120.0,0.563,-31.64,-13.31,4.700000000000003,-18.0,-0.07199999999999995
4,8,1,1,George Mason,8,1,1,2,2011,George Mason,3.31,6.75,14.3,1.31,6.7,17.0,614.0,1206.0,0.509,73.3,0.474,0.397,0.69,2011,10.6,24.5,35.1,9,George Mason,George Mason,11.66,1.37,64.3,111.9,0.532,2011,11.66,1.37,64.3,111.9,0.532,0.0,0.0,0.0,0.0,0.0
5,1,7,1,George Mason,8,0,0,17,2011,George Mason,3.31,6.75,14.3,1.31,6.7,17.0,614.0,1206.0,0.509,73.3,0.474,0.397,0.69,2011,10.6,24.5,35.1,1,George Mason,George Mason,11.66,1.37,64.3,111.9,0.532,2011,11.66,1.37,64.3,111.9,0.532,0.0,0.0,0.0,0.0,0.0
6,8,1,1,Villanova,9,0,0,3,2011,Villanova,3.75,6.34,13.8,1.15,6.3,18.0,574.0,1185.0,0.484,72.7,0.44,0.349,0.758,2011,12.3,24.9,37.1,8,Villanova,Villanova,15.05,8.23,65.7,109.6,0.495,2011,16.15,11.03,64.0,109.0,0.485,-1.0999999999999979,-2.799999999999999,1.7000000000000028,0.5999999999999943,0.010000000000000009
7,5,7,1,West Virginia,5,1,1,4,2011,West Virginia,4.29,4.61,15.1,1.25,6.3,19.0,540.0,1139.0,0.474,69.5,0.42700000000000005,0.335,0.706,2011,14.4,23.0,37.4,12,West Virginia,West Virginia,16.15,11.03,64.0,109.0,0.485,2011,15.05,8.23,65.7,109.6,0.495,1.0999999999999979,2.799999999999999,-1.7000000000000028,-0.5999999999999943,-0.010000000000000009
8,4,1,1,West Virginia,5,0,0,18,2011,West Virginia,4.29,4.61,15.1,1.25,6.3,19.0,540.0,1139.0,0.474,69.5,0.42700000000000005,0.335,0.706,2011,14.4,23.0,37.4,4,West Virginia,West Virginia,16.15,11.03,64.0,109.0,0.485,2011,13.76,6.58,65.1,104.5,0.503,2.389999999999999,4.449999999999999,-1.0999999999999943,4.5,-0.018000000000000016
9,5,7,1,Clemson,12,0,0,5,2011,Clemson,4.88,8.03,12.9,0.96,6.5,19.0,551.0,1123.0,0.491,68.3,0.442,0.349,0.693,2011,11.5,23.4,34.9,5,Clemson,Clemson,13.76,6.58,65.1,104.5,0.503,2011,16.15,11.03,64.0,109.0,0.485,-2.389999999999999,-4.449999999999999,1.0999999999999943,-4.5,0.018000000000000016
10,4,9,1,Kentucky,4,1,1,6,2011,Kentucky,6.27,5.48,12.7,1.19,7.4,19.0,641.0,1308.0,0.49,76.4,0.46,0.397,0.718,2011,12.1,26.0,38.1,13,Kentucky,Kentucky,20.3,8.91,66.2,112.8,0.523,2011,20.3,8.91,66.2,112.8,0.523,0.0,0.0,0.0,0.0,0.0
11,4,1,1,Kentucky,4,1,1,19,2011,Kentucky,6.27,5.48,12.7,1.19,7.4,19.0,641.0,1308.0,0.49,76.4,0.46,0.397,0.718,2011,12.1,26.0,38.1,5,Kentucky,Kentucky,20.3,8.91,66.2,112.8,0.523,2011,20.3,8.91,66.2,112.8,0.523,0.0,0.0,0.0,0.0,0.0
12,4,3,2,Kentucky,4,1,0,25,2011,Kentucky,6.27,5.48,12.7,1.19,7.4,19.0,641.0,1308.0,0.49,76.4,0.46,0.397,0.718,2011,12.1,26.0,38.1,1,Kentucky,Kentucky,20.3,8.91,66.2,112.8,0.523,2011,20.3,8.91,66.2,112.8,0.523,0.0,0.0,0.0,0.0,0.0
13,4,2,2,Kentucky,4,1,0,28,2011,Kentucky,6.27,5.48,12.7,1.19,7.4,19.0,641.0,1308.0,0.49,76.4,0.46,0.397,0.718,2011,12.1,26.0,38.1,2,Kentucky,Kentucky,20.3,8.91,66.2,112.8,0.523,2011,20.3,8.91,66.2,112.8,0.523,0.0,0.0,0.0,0.0,0.0
14,3,1,1,Kentucky,4,0,0,121,2011,Kentucky,6.27,5.48,12.7,1.19,7.4,19.0,641.0,1308.0,0.49,76.4,0.46,0.397,0.718,2011,12.1,26.0,38.1,3,Kentucky,Kentucky,20.3,8.91,66.2,112.8,0.523,2011,3.71,-1.61,63.4,107.0,0.522,16.59,10.52,2.8000000000000043,5.799999999999997,0.0010000000000000009
