,name,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted
0,Air Force,2.71,3.31,62.5,102.5,0.54,2011,2.15,-1.02,67.0,102.9,0.499,0.56,4.33,-4.5,-0.4000000000000057,0.041000000000000036
1,Akron,2.15,-1.02,67.0,102.9,0.499,2011,2.71,3.31,62.5,102.5,0.54,-0.56,-4.33,4.5,0.4000000000000057,-0.041000000000000036
2,Alabama A&M,-15.19,-11.75,71.6,89.8,0.435,2011,8.55,2.78,63.1,105.7,0.508,-23.740000000000002,-14.53,8.499999999999993,-15.900000000000006,-0.07300000000000001
3,Alabama-Birmingham,8.55,2.78,63.1,105.7,0.508,2011,-15.19,-11.75,71.6,89.8,0.435,23.740000000000002,14.53,-8.499999999999993,15.900000000000006,0.07300000000000001
4,Alabama State,-13.37,-10.31,66.5,91.5,0.44,2011,11.7,4.27,65.3,101.6,0.487,-25.07,-14.58,1.2000000000000028,-10.099999999999994,-0.046999999999999986
5,Alabama,11.7,4.27,65.3,101.6,0.487,2011,-13.37,-10.31,66.5,91.5,0.44,25.07,14.58,-1.2000000000000028,10.099999999999994,0.046999999999999986
6,Albany (NY),-7.05,-5.96,61.0,101.1,0.494,2011,-23.02,-8.02,77.6,84.2,0.404,15.969999999999999,2.0599999999999996,-16.599999999999994,16.89999999999999,0.08999999999999997
7,Alcorn State,-23.02,-8.02,77.6,84.2,0.404,2011,-7.05,-5.96,61.0,101.1,0.494,-15.969999999999999,-2.0599999999999996,16.599999999999994,-16.89999999999999,-0.08999999999999997
8,American,-3.13,-5.64,61.9,105.2,0.506,2011,-4.81,-2.95,68.9,105.6,0.511,1.6799999999999997,-2.6899999999999995,-7.000000000000007,-0.3999999999999915,-0.0050000000000000044
9,Appalachian State,-4.81,-2.95,68.9,105.6,0.511,2011,-3.13,-5.64,61.9,105.2,0.506,-1.6799999999999997,2.6899999999999995,7.000000000000007,0.3999999999999915,0.0050000000000000044
10,Arizona State,4.3,7.2,64.4,99.0,0.501,2011,16.54,7.99,66.9,112.8,0.541,-12.239999999999998,-0.79,-2.5,-13.799999999999997,-0.040000000000000036
11,Arizona,16.54,7.99,66.9,112.8,0.541,2011,4.3,7.2,64.4,99.0,0.501,12.239999999999998,0.79,2.5,13.799999999999997,0.040000000000000036
12,Little Rock,-4.32,-2.97,65.4,103.3,0.488,2011,-20.0,-8.03,68.4,86.2,0.449,15.68,5.059999999999999,-3.0,17.099999999999994,0.03899999999999998
13,Arkansas-Pine Bluff,-20.0,-8.03,68.4,86.2,0.449,2011,-4.32,-2.97,65.4,103.3,0.488,-15.68,-5.059999999999999,3.0,-17.099999999999994,-0.03899999999999998
14,Arkansas State,-3.38,-3.31,65.6,103.8,0.481,2011,6.28,2.34,67.7,102.8,0.495,-9.66,-5.65,-2.1000000000000085,1.0,-0.014000000000000012
15,Arkansas,6.28,2.34,67.7,102.8,0.495,2011,-3.38,-3.31,65.6,103.8,0.481,9.66,5.65,2.1000000000000085,-1.0,0.014000000000000012
