,winner,point_difference,result,name,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed
0,1,15,1,Georgetown,1,1,1,0,1985,Georgetown,4.26,6.15,15.1,1.12,6.2,18.0,548.0,1139.0,0.481,75.8,0.441,0.345,0.776,1985,12.1,26.9,39.0,16
1,1,15,1,Lehigh,16,0,0,1,1985,Lehigh,2.29,5.39,12.2,0.87,5.7,17.0,556.0,1130.0,0.492,68.0,0.447,0.339,0.735,1985,8.8,25.6,34.3,1
2,8,1,1,Temple,8,1,1,2,1985,Temple,2.96,8.0,14.0,1.07,6.7,21.0,481.0,1055.0,0.456,69.5,0.409,0.32,0.682,1985,9.7,28.2,37.9,9
3,8,1,1,Virginia Tech,9,0,0,3,1985,Virginia Tech,3.0,5.89,15.0,1.55,9.8,28.0,420.0,863.0,0.487,70.6,0.425,0.354,0.709,1985,8.0,27.0,35.0,8
4,5,7,1,SMU,5,1,1,4,1985,SMU,3.19,5.85,16.0,1.19,8.3,25.0,471.0,857.0,0.55,75.0,0.459,0.337,0.769,1985,11.7,25.3,37.0,12
5,5,7,1,Old Dominion,12,0,0,5,1985,Old Dominion,2.96,7.07,10.1,0.84,5.6,20.0,509.0,1117.0,0.456,64.6,0.4,0.286,0.687,1985,11.7,27.6,39.3,5
6,4,9,1,Loyola (IL),4,1,1,6,1985,Loyola Chicago,1.66,7.76,14.5,1.12,5.9,16.0,561.0,997.0,0.563,68.8,0.501,0.368,0.657,1985,6.0,23.8,29.8,13
7,4,9,1,Iona,13,0,0,7,1985,Iona,3.74,7.17,13.2,0.94,8.0,24.0,364.0,712.0,0.511,69.4,0.432,0.331,0.76,1985,8.3,24.9,33.2,4
8,6,5,1,Georgia,6,1,1,8,1985,Georgia,3.48,7.48,13.6,0.9,7.0,23.0,544.0,1005.0,0.541,75.6,0.448,0.301,0.698,1985,12.0,26.1,38.1,11
9,6,5,1,Wichita State,11,0,0,9,1985,Wichita State,3.7,7.22,14.2,1.11,7.6,24.0,466.0,1021.0,0.456,72.2,0.404,0.321,0.696,1985,12.3,27.1,39.4,6
10,3,11,1,Illinois,3,1,1,10,1985,Illinois,2.78,4.93,13.1,1.04,5.6,18.0,557.0,1120.0,0.497,72.5,0.44,0.309,0.726,1985,13.0,27.3,40.4,14
11,3,11,1,Northeastern,14,0,0,11,1985,Northeastern,1.61,8.04,12.9,1.04,7.9,22.0,502.0,930.0,0.54,71.3,0.472,0.368,0.798,1985,7.3,24.0,31.3,3
12,7,3,1,Syracuse,7,1,1,12,1985,Syracuse,4.41,7.3,14.2,1.23,8.4,25.0,453.0,890.0,0.509,74.0,0.435,0.337,0.743,1985,10.2,25.3,35.5,10
13,7,3,1,DePaul,10,0,0,13,1985,DePaul,5.11,8.52,14.2,0.98,5.9,18.0,561.0,1125.0,0.499,72.5,0.446,0.325,0.643,1985,11.5,26.0,37.4,7
14,2,13,1,Georgia Tech,2,1,1,14,1985,Georgia Tech,4.56,6.78,13.7,0.86,5.1,17.0,547.0,1058.0,0.517,68.8,0.453,0.304,0.667,1985,9.4,26.2,35.6,15
15,2,13,1,Mercer,15,0,0,15,1985,Mercer,2.66,6.66,14.6,1.0,7.6,21.0,556.0,1090.0,0.51,72.6,0.455,0.357,0.726,1985,10.2,26.1,36.3,2
16,1,7,1,Georgetown,1,1,1,16,1985,Georgetown,4.26,6.15,15.1,1.12,6.2,18.0,548.0,1139.0,0.481,75.8,0.441,0.345,0.776,1985,12.1,26.9,39.0,8
17,1,7,1,Temple,8,0,0,17,1985,Temple,2.96,8.0,14.0,1.07,6.7,21.0,481.0,1055.0,0.456,69.5,0.409,0.32,0.682,1985,9.7,28.2,37.9,1
18,4,1,1,SMU,5,0,0,18,1985,SMU,3.19,5.85,16.0,1.19,8.3,25.0,471.0,857.0,0.55,75.0,0.459,0.337,0.769,1985,11.7,25.3,37.0,4
19,4,1,1,Loyola (IL),4,1,1,19,1985,Loyola Chicago,1.66,7.76,14.5,1.12,5.9,16.0,561.0,997.0,0.563,68.8,0.501,0.368,0.657,1985,6.0,23.8,29.8,5
20,3,3,1,Georgia,6,0,0,20,1985,Georgia,3.48,7.48,13.6,0.9,7.0,23.0,544.0,1005.0,0.541,75.6,0.448,0.301,0.698,1985,12.0,26.1,38.1,3
21,3,3,1,Illinois,3,1,1,21,1985,Illinois,2.78,4.93,13.1,1.04,5.6,18.0,557.0,1120.0,0.497,72.5,0.44,0.309,0.726,1985,13.0,27.3,40.4,6
22,2,5,1,Syracuse,7,0,0,22,1985,Syracuse,4.41,7.3,14.2,1.23,8.4,25.0,453.0,890.0,0.509,74.0,0.435,0.337,0.743,1985,10.2,25.3,35.5,2
23,2,5,1,Georgia Tech,2,1,1,23,1985,Georgia Tech,4.56,6.78,13.7,0.86,5.1,17.0,547.0,1058.0,0.517,68.8,0.453,0.304,0.667,1985,9.4,26.2,35.6,7
24,1,3,1,Georgetown,1,1,1,24,1985,Georgetown,4.26,6.15,15.1,1.12,6.2,18.0,548.0,1139.0,0.481,75.8,0.441,0.345,0.776,1985,12.1,26.9,39.0,4
25,1,3,1,Loyola (IL),4,0,0,25,1985,Loyola Chicago,1.66,7.76,14.5,1.12,5.9,16.0,561.0,997.0,0.563,68.8,0.501,0.368,0.657,1985,6.0,23.8,29.8,1
26,2,1,1,Illinois,3,0,0,26,1985,Illinois,2.78,4.93,13.1,1.04,5.6,18.0,557.0,1120.0,0.497,72.5,0.44,0.309,0.726,1985,13.0,27.3,40.4,2
27,2,1,1,Georgia Tech,2,1,1,27,1985,Georgia Tech,4.56,6.78,13.7,0.86,5.1,17.0,547.0,1058.0,0.517,68.8,0.453,0.304,0.667,1985,9.4,26.2,35.6,3
28,1,1,1,Georgetown,1,1,1,28,1985,Georgetown,4.26,6.15,15.1,1.12,6.2,18.0,548.0,1139.0,0.481,75.8,0.441,0.345,0.776,1985,12.1,26.9,39.0,2
29,1,1,1,Georgia Tech,2,0,0,29,1985,Georgia Tech,4.56,6.78,13.7,0.86,5.1,17.0,547.0,1058.0,0.517,68.8,0.453,0.304,0.667,1985,9.4,26.2,35.6,1
30,1,15,1,Oklahoma,1,1,1,30,1985,Oklahoma,3.85,6.0,11.9,1.1,7.4,23.0,468.0,970.0,0.482,70.7,0.421,0.324,0.77,1985,8.1,28.2,36.3,16
