,point_difference,team_seed,win,higher_or_lower_seed,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,ORPG,DRPG,RPG,other_team_seed,SRS_adv,SOS_adv,eFG_perc_adv,SRS_adv_opponent,SOS_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,eFG_perc_adv_subtracted,BLKPG_opponent,STPG_opponent,APG_opponent,AST_TO_opponent,_3pm_opponent,_3pa_opponent,_2pm_opponent,_2pa_opponent,_2p_perc_opponent,FG_perc_opponent,_3p_perc_opponent,FT_perc_opponent,ORPG_opponent,DRPG_opponent,RPG_opponent,BLKPG_subtracted,STPG_subtracted,APG_subtracted,AST_TO_subtracted,_3pm_subtracted,_3pa_subtracted,_2pm_subtracted,_2pa_subtracted,_2p_perc_subtracted,PTS_opponent,PTS_subtracted,FG_perc_subtracted,_3p_perc_subtracted,FT_perc_subtracted,ORPG_subtracted,DRPG_subtracted,RPG_subtracted,round,wins,losses,kenpom_adjem,wins_opponent,losses_opponent,kenpom_adjem_opponent,wins_subtracted,losses_subtracted,kenpom_adjem_subtracted
0,15,1,1,1,6.27,8.4,20.4,1.48,6.0,16.0,733.0,1404.0,0.522,85.3,0.483,0.37,0.71,13.5,28.1,41.6,16,23.5,9.38,0.53,-2.74,-3.71,0.478,26.24,13.09,0.05200000000000005,4.21,5.44,12.7,0.83,7.0,20.0,559.0,1234.0,0.45299999999999996,0.415,0.34700000000000003,0.742,11.2,26.6,37.9,2.06,2.96,7.699999999999997,0.65,-1.0,-4.0,174.0,170.0,0.069,69.6,15.700000000000005,0.068,0.022999999999999958,-0.03200000000000003,2.3000000000000007,1.5,3.700000000000003,1,32.0,4.0,29.25,17.0,19.0,-1.21,15.0,-15.0,30.46
1,15,16,0,0,4.21,5.44,12.7,0.83,7.0,20.0,559.0,1234.0,0.45299999999999996,69.6,0.415,0.34700000000000003,0.742,11.2,26.6,37.9,1,-2.74,-3.71,0.478,23.5,9.38,0.53,-26.24,-13.09,-0.05200000000000005,6.27,8.4,20.4,1.48,6.0,16.0,733.0,1404.0,0.522,0.483,0.37,0.71,13.5,28.1,41.6,-2.06,-2.96,-7.699999999999997,-0.65,1.0,4.0,-174.0,-170.0,-0.069,85.3,-15.700000000000005,-0.068,-0.022999999999999958,0.03200000000000003,-2.3000000000000007,-1.5,-3.700000000000003,1,17.0,19.0,-1.21,32.0,4.0,29.25,-15.0,15.0,-30.46
2,1,8,1,1,1.87,5.8,12.7,0.98,6.6,19.0,492.0,1013.0,0.486,66.9,0.43799999999999994,0.35200000000000004,0.7190000000000001,10.3,22.1,32.4,9,10.09,9.22,0.499,7.8,6.3,0.4370000000000001,2.29,2.9200000000000013,0.062,3.84,10.29,11.5,0.76,4.3,15.0,628.0,1437.0,0.4370000000000001,0.401,0.287,0.667,15.7,22.1,37.8,-1.97,-4.489999999999998,1.1999999999999993,0.22,2.3,4.0,-136.0,-424.0,0.04899999999999989,70.3,-3.3999999999999915,0.036999999999999984,0.06500000000000006,0.05200000000000005,-5.399999999999999,0.0,-5.399999999999999,1,18.0,13.0,13.22,20.0,12.0,9.06,-2.0,1.0,4.16
3,1,9,0,0,3.84,10.29,11.5,0.76,4.3,15.0,628.0,1437.0,0.4370000000000001,70.3,0.401,0.287,0.667,15.7,22.1,37.8,8,7.8,6.3,0.4370000000000001,10.09,9.22,0.499,-2.29,-2.9200000000000013,-0.062,1.87,5.8,12.7,0.98,6.6,19.0,492.0,1013.0,0.486,0.43799999999999994,0.35200000000000004,0.7190000000000001,10.3,22.1,32.4,1.97,4.489999999999998,-1.1999999999999993,-0.22,-2.3,-4.0,136.0,424.0,-0.04899999999999989,66.9,3.3999999999999915,-0.036999999999999984,-0.06500000000000006,-0.05200000000000005,5.399999999999999,0.0,5.399999999999999,1,20.0,12.0,9.06,18.0,13.0,13.22,2.0,-1.0,-4.16
4,7,5,0,1,3.41,8.44,14.1,1.01,5.2,14.0,677.0,1344.0,0.504,73.3,0.474,0.381,0.6920000000000001,12.7,23.0,35.7,12,17.16,4.77,0.52,12.66,2.3,0.541,4.5,2.47,-0.02100000000000002,4.41,8.13,17.3,1.35,7.6,19.0,661.0,1298.0,0.509,0.47700000000000004,0.406,0.7509999999999999,10.7,25.0,35.7,-1.0,0.3099999999999987,-3.200000000000001,-0.3400000000000001,-2.3999999999999995,-5.0,16.0,46.0,-0.0050000000000000044,80.4,-7.1000000000000085,-0.003000000000000003,-0.025000000000000026,-0.05899999999999982,2.0,-2.0,0.0,1,26.0,7.0,21.47,26.0,7.0,15.59,0.0,0.0,5.879999999999999
5,7,12,1,0,4.41,8.13,17.3,1.35,7.6,19.0,661.0,1298.0,0.509,80.4,0.47700000000000004,0.406,0.7509999999999999,10.7,25.0,35.7,5,12.66,2.3,0.541,17.16,4.77,0.52,-4.5,-2.47,0.02100000000000002,3.41,8.44,14.1,1.01,5.2,14.0,677.0,1344.0,0.504,0.474,0.381,0.6920000000000001,12.7,23.0,35.7,1.0,-0.3099999999999987,3.200000000000001,0.3400000000000001,2.3999999999999995,5.0,-16.0,-46.0,0.0050000000000000044,73.3,7.1000000000000085,0.003000000000000003,0.025000000000000026,0.05899999999999982,-2.0,2.0,0.0,1,26.0,7.0,15.59,26.0,7.0,21.47,0.0,0.0,-5.879999999999999
6,9,4,1,1,4.83,7.76,14.5,1.0,6.8,22.0,627.0,1201.0,0.522,76.6,0.44799999999999995,0.309,0.67,15.6,24.8,40.3,13,19.15,11.99,0.502,9.38,-1.24,0.518,9.769999999999998,13.23,-0.016000000000000014,4.09,10.22,17.4,1.33,8.3,24.0,604.0,1170.0,0.516,0.451,0.35,0.665,13.7,24.1,37.8,0.7400000000000002,-2.460000000000001,-2.8999999999999986,-0.3300000000000001,-1.5000000000000009,-2.0,23.0,31.0,0.0060000000000000045,78.0,-1.4000000000000057,-0.003000000000000003,-0.04099999999999998,0.0050000000000000044,1.9000000000000004,0.6999999999999993,2.5,1,22.0,10.0,22.21,24.0,8.0,13.63,-2.0,2.0,8.58
7,9,13,0,0,4.09,10.22,17.4,1.33,8.3,24.0,604.0,1170.0,0.516,78.0,0.451,0.35,0.665,13.7,24.1,37.8,4,9.38,-1.24,0.518,19.15,11.99,0.502,-9.769999999999998,-13.23,0.016000000000000014,4.83,7.76,14.5,1.0,6.8,22.0,627.0,1201.0,0.522,0.44799999999999995,0.309,0.67,15.6,24.8,40.3,-0.7400000000000002,2.460000000000001,2.8999999999999986,0.3300000000000001,1.5000000000000009,2.0,-23.0,-31.0,-0.0060000000000000045,76.6,1.4000000000000057,0.003000000000000003,0.04099999999999998,-0.0050000000000000044,-1.9000000000000004,-0.6999999999999993,-2.5,1,24.0,8.0,13.63,22.0,10.0,22.21,2.0,-2.0,-8.58
8,5,6,0,1,4.26,7.52,18.6,1.51,4.6,12.0,763.0,1556.0,0.49,79.5,0.46799999999999997,0.37799999999999995,0.684,12.8,25.5,38.3,11,14.72,7.22,0.502,9.79,1.67,0.513,4.9300000000000015,5.55,-0.01100000000000001,4.82,7.39,15.1,1.08,6.3,17.0,691.0,1384.0,0.499,0.46299999999999997,0.3720000000000001,0.621,13.3,25.7,39.0,-0.5600000000000005,0.1299999999999999,3.5000000000000018,0.43,-1.7000000000000002,-5.0,72.0,172.0,-0.009000000000000008,75.9,3.5999999999999943,0.0050000000000000044,0.005999999999999893,0.06300000000000006,-0.5,-0.1999999999999993,-0.7000000000000028,1,23.0,9.0,17.24,28.0,8.0,13.45,-5.0,1.0,3.7899999999999987
9,5,11,1,0,4.82,7.39,15.1,1.08,6.3,17.0,691.0,1384.0,0.499,75.9,0.46299999999999997,0.3720000000000001,0.621,13.3,25.7,39.0,6,9.79,1.67,0.513,14.72,7.22,0.502,-4.9300000000000015,-5.55,0.01100000000000001,4.26,7.52,18.6,1.51,4.6,12.0,763.0,1556.0,0.49,0.46799999999999997,0.37799999999999995,0.684,12.8,25.5,38.3,0.5600000000000005,-0.1299999999999999,-3.5000000000000018,-0.43,1.7000000000000002,5.0,-72.0,-172.0,0.009000000000000008,79.5,-3.5999999999999943,-0.0050000000000000044,-0.005999999999999893,-0.06300000000000006,0.5,0.1999999999999993,0.7000000000000028,1,28.0,8.0,13.45,23.0,9.0,17.24,5.0,-1.0,-3.7899999999999987
10,11,3,1,1,3.63,8.87,15.4,1.08,5.9,19.0,640.0,1267.0,0.505,76.1,0.447,0.315,0.7340000000000001,14.5,23.7,38.2,14,14.68,9.24,0.496,0.65,-1.94,0.5,14.03,11.18,-0.0040000000000000036,5.03,8.06,14.5,1.03,6.5,20.0,714.0,1395.0,0.512,0.452,0.319,0.727,15.7,24.3,40.0,-1.4000000000000004,0.8099999999999987,0.9000000000000004,0.05000000000000005,-0.5999999999999996,-1.0,-74.0,-128.0,-0.007000000000000006,78.9,-2.800000000000012,-0.0050000000000000044,-0.0040000000000000036,0.007000000000000117,-1.1999999999999993,-0.6000000000000014,-1.7999999999999972,1,22.0,9.0,18.44,17.0,13.0,1.35,5.0,-4.0,17.09
11,11,14,0,0,5.03,8.06,14.5,1.03,6.5,20.0,714.0,1395.0,0.512,78.9,0.452,0.319,0.727,15.7,24.3,40.0,3,0.65,-1.94,0.5,14.68,9.24,0.496,-14.03,-11.18,0.0040000000000000036,3.63,8.87,15.4,1.08,5.9,19.0,640.0,1267.0,0.505,0.447,0.315,0.7340000000000001,14.5,23.7,38.2,1.4000000000000004,-0.8099999999999987,-0.9000000000000004,-0.05000000000000005,0.5999999999999996,1.0,74.0,128.0,0.007000000000000006,76.1,2.800000000000012,0.0050000000000000044,0.0040000000000000036,-0.007000000000000117,1.1999999999999993,0.6000000000000014,1.7999999999999972,1,17.0,13.0,1.35,22.0,9.0,18.44,-5.0,4.0,-17.09
12,3,7,1,1,2.22,7.91,16.3,1.21,8.3,23.0,554.0,1066.0,0.52,75.7,0.45399999999999996,0.359,0.75,10.4,22.8,33.3,10,15.85,8.17,0.525,14.9,9.6,0.516,0.9499999999999992,-1.4299999999999995,0.009000000000000008,3.03,5.07,14.3,0.96,5.8,15.0,574.0,1166.0,0.4920000000000001,0.467,0.39799999999999996,0.764,12.2,25.5,37.7,-0.8099999999999996,2.84,2.0,0.25,2.500000000000001,8.0,-20.0,-100.0,0.027999999999999917,69.7,6.0,-0.013000000000000013,-0.039000000000000035,-0.014000000000000012,-1.7999999999999992,-2.7,-4.400000000000006,1,23.0,11.0,19.15,19.0,12.0,16.86,4.0,-1.0,2.289999999999999
